Courses,Credits,Semester,Year
INST 201 - Introduction to Information Science,3,Fall,2
INST326 - Object-Oriented Programming for Information Science,3,Fall,2
INST311 - Information Organization,3,Fall,2
INST327 - Database Design and Modeling,3,Spring,2
INST335 - Teams and Organizations,3,Spring,2
INST314 - Statistics for Information Science,3,Fall,3
INST352 - Information User Needs and Assessment,3,Spring,3
INST346 - Technologies, Infrastructures and Architecture,3,Fall,4
INST362 - User-Centered Design,3,Fall,4
INST490 - Integrative Capstone,3,Spring,4
